id	FT16_mean
9585	32
7471	34
8304	34.25
6898	34.25
8353	35.25
9571	35.25
9853	35.5
7424	35.5
9517	35.75
6979	36
8213	36
9801	36.33333333
7117	36.5
765	36.66666667
7103	36.75
7199	37
7460	37
5486	37.5
7282	37.5
7250	37.75
7217	38
7383	38
5253	38
6909	38
9760	38.25
9795	38.25
9996	38.25
7062	38.25
9788	38.33333333
9791	38.33333333
7013	38.75
5800	39
9816	39
763	39
9863	39.25
6940	39.25
7161	39.33333333
9766	39.5
8365	39.5
6960	39.75
7333	39.75
9660	40
7382	40
6434	40
7213	40
9512	40.25
7028	40.25
8426	40.25
9786	40.25
7206	40.25
7096	40.25
6932	40.33333333
5818	40.33333333
8472	40.5
9854	40.66666667
5104	40.75
7524	40.75
7202	40.75
9772	40.75
9606	41
7119	41
7123	41
7387	41.25
9803	41.25
6830	41.25
6180	41.25
7404	41.33333333
6923	41.5
8428	41.5
9865	41.5
9781	41.66666667
7263	41.66666667
6958	41.66666667
7394	41.75
9883	41.75
5748	41.75
7525	41.75
766	41.75
9995	41.75
5984	41.75
9790	41.75
9661	42
10019	42
6967	42
9823	42
7329	42
7192	42
7067	42.25
9789	42.25
7314	42.25
9810	42.25
7430	42.25
9931	42.33333333
8314	42.33333333
8239	42.5
7081	42.5
6943	42.5
10002	42.5
5778	42.5
9800	42.5
9941	42.5
7120	42.75
9792	42.75
7162	42.75
7125	42.75
9802	42.75
9934	43
6981	43
6042	43
9806	43
9807	43
9774	43
6008	43
10024	43.25
7094	43.25
7419	43.25
5236	43.5
9784	43.5
9727	43.5
9922	43.5
915	43.5
7332	43.5
9777	43.5
772	43.5
9910	43.5
7258	43.5
7165	43.5
5835	43.5
7268	43.66666667
7273	43.66666667
5023	43.75
6986	43.75
6243	43.75
10021	44
6939	44
7163	44
6982	44
9775	44.25
9771	44.25
8290	44.25
7077	44.33333333
9926	44.33333333
9782	44.5
6944	44.5
9911	44.5
7203	44.5
9794	44.5
6922	44.5
7106	44.5
7143	44.5
9779	44.66666667
9798	44.66666667
9769	44.66666667
9875	44.75
9770	44.75
9847	45
7071	45
9811	45
9608	45.25
9785	45.25
7209	45.25
7177	45.25
7415	45.25
8256	45.25
10022	45.25
7231	45.33333333
7098	45.5
7127	45.5
9298	45.5
10025	45.5
9813	45.5
7026	45.5
1435	45.66666667
6916	45.66666667
7109	45.75
9804	45.75
6926	45.75
9812	45.75
9780	45.75
9591	46
7244	46
5811	46
7208	46
9796	46
5644	46.25
7418	46.25
9998	46.25
7133	46.25
6973	46.25
9908	46.5
9797	46.5
7280	46.5
9507	46.66666667
9907	46.75
9936	46.75
6924	47
7347	47
9919	47
6296	47
6911	47.25
6744	47.25
265	47.25
6975	47.25
7031	47.25
7255	47.33333333
7236	47.5
7337	47.5
8420	47.5
7344	47.66666667
7158	47.75
9937	47.75
6987	47.75
6984	47.75
9657	48
4931	48
7413	48
9815	48
10020	48
5726	48
9921	48.25
7287	48.25
100000	48.25
9814	48.33333333
8387	48.33333333
6931	48.5
5907	48.5
9920	48.66666667
7461	48.75
7520	48.75
5772	49
8386	49
9933	49
7330	49
9778	49.25
7276	49.25
9787	49.33333333
10026	49.5
10001	49.5
6709	49.5
4884	49.5
9651	49.66666667
7207	49.75
5276	49.75
7186	49.75
7306	49.75
9900	50
9923	50
6445	50
9940	50
6970	50.25
4779	50.25
4900	50.25
6961	50.33333333
8378	50.33333333
9590	50.5
88	50.5
9799	50.5
7036	50.5
7107	50.75
7166	50.75
9913	50.75
4826	51
5577	51
7003	51
7063	51
9609	51
9515	51.25
9830	51.25
10015	51.25
7343	51.25
9809	51.25
7218	51.25
7328	51.33333333
7396	51.5
350	51.5
9916	51.5
9997	51.5
6041	51.5
7305	51.5
8285	51.66666667
9773	51.75
7322	51.75
8312	52
7378	52
7458	52
7350	52
108	52.25
